CustomerID,LastPurchase,FirstPurchase,NumTransactions,TotalSpend,TotalItems,UniqueProducts,UniqueCategories,PrimaryCountry,Recency,CustomerLifespan,AOV,PurchaseFreqPerMonth,IsUK,R_Score,F_Score,M_Score,RFM_Score,CustomerSegment,behavioral_entropy
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,150.90001,172,10,4,Denmark,3,0,150.90000915527344,1.0,0,5,1,1,7,Loyal,0.4042577604855154
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,917.7,330,18,5,Cyprus,627,0,917.7000122070312,1.0,0,1,1,3,5,Lost,0.5897806592511319
12369,2010-10-22 13:13:00,2010-03-08 08:09:00,3,1511.15,1234,89,9,Austria,412,228,503.7166748046875,0.39473684210526316,0,1,3,4,8,At Risk,0.8112568815664521
12370,2011-10-19 14:51:00,2010-02-09 09:41:00,7,3960.31,2596,167,9,Cyprus,50,617,565.7585797991071,0.34035656401944897,0,4,4,5,13,Champions,0.6209712063116933
12371,2011-10-11 10:43:00,2010-03-04 18:23:00,4,3347.38,1418,133,9,Switzerland,59,585,836.844970703125,0.20512820512820512,0,3,3,5,11,Potential Loyal,0.6824359446568506
12372,2011-09-29 12:12:00,2011-02-16 12:46:00,3,1196.04,788,33,5,Denmark,71,224,398.6800130208333,0.4017857142857143,0,3,3,3,9,Potential Loyal,0.5494911433343241
12373,2011-02-01 13:10:00,2010-02-04 12:08:00,3,927.65,511,35,4,Austria,310,362,309.2166748046875,0.24861878453038674,0,2,3,3,8,At Risk,0.41430256643639274
12374,2011-11-14 15:37:00,2010-04-30 14:01:00,3,2669.22,1354,78,7,Austria,24,563,889.739990234375,0.15985790408525755,0,4,3,4,11,Loyal,0.605799571630189
12375,2011-11-29 10:36:00,2011-09-02 14:23:00,2,377.5,176,13,2,Finland,10,87,188.75,0.6896551724137931,0,5,2,2,9,Loyal,0.13230177606731597
12376,2010-11-15 12:15:00,2010-10-18 08:42:00,2,383.15,237,10,4,Switzerland,389,28,191.5749969482422,2.0,0,2,2,2,6,Lost,0.4224932129253638
12377,2011-01-28 15:45:00,2010-04-29 15:34:00,4,3266.32,2101,128,10,Switzerland,314,274,816.5800170898438,0.43795620437956206,0,2,3,5,10,At Risk,0.7572911203058058
12378,2011-08-02 10:34:00,2010-05-26 14:07:00,2,5416.32,3316,281,10,Switzerland,129,432,2708.159912109375,0.1388888888888889,0,3,2,5,10,Potential Loyal,0.7167224815655612
12379,2011-09-19 10:09:00,2010-06-23 12:49:00,4,1470.22,805,57,7,Belgium,81,452,367.55499267578125,0.26548672566371684,0,3,3,4,10,Potential Loyal,0.7505538337438619
12380,2011-11-18 11:27:00,2010-02-15 12:05:00,8,7210.65,3314,154,9,Belgium,21,640,901.3312377929688,0.375,0,4,4,5,13,Champions,0.6731475591686009
12381,2011-12-05 12:44:00,2011-08-12 09:57:00,3,1474.81,797,69,8,Norway,4,115,491.6033528645833,0.7826086956521738,0,5,3,4,12,Loyal,0.7383583635896318
12383,2011-06-08 08:02:00,2010-12-22 14:28:00,5,1628.56,1518,83,7,Belgium,184,167,325.71201171875,0.8982035928143713,0,3,4,4,11,Potential Loyal,0.6375134775845883
12384,2011-11-11 08:39:00,2011-08-10 11:23:00,2,425.27,122,25,5,Switzerland,28,92,212.63499450683594,0.6521739130434783,0,4,2,2,8,Loyal,0.6197723944714283
12385,2010-11-25 15:14:00,2010-11-25 15:14:00,1,1668.4,594,64,5,Belgium,378,0,1668.4000244140625,1.0,0,2,1,4,7,Lost,0.5121923267356179
12386,2011-01-06 12:37:00,2010-12-08 09:53:00,2,660.8,568,10,3,Australia,337,29,330.3999938964844,2.0,0,2,2,3,7,Lost,0.2799948885406016
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,1,143.94,134,9,5,Australia,414,0,143.94000244140625,1.0,0,1,1,1,3,Lost,0.47585897950848255
12388,2011-11-24 12:30:00,2010-05-06 12:54:00,8,3901.1099,2001,83,7,Australia,15,566,487.63873291015625,0.42402826855123676,0,5,4,5,14,Champions,0.7153654850642586
12389,2010-11-02 11:52:00,2010-02-22 10:15:00,3,1433.33,614,41,7,Australia,402,253,477.7766520182292,0.3557312252964427,0,2,3,4,9,At Risk,0.6136390977905738
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,504.84,350,31,6,Belgium,79,0,504.8399963378906,1.0,0,3,1,2,6,Potential Loyal,0.6343861322760068
12391,2011-11-18 12:07:00,2010-02-15 10:12:00,6,2773.42,1220,241,9,Cyprus,21,641,462.2366536458333,0.28081123244929795,0,4,4,4,12,Loyal,0.8387273553121166
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,1,234.75,73,7,2,Australia,590,0,234.75,1.0,0,1,1,1,3,Lost,0.0744430441594016
12393,2011-09-28 15:41:00,2010-10-07 13:49:00,6,2399.45,1311,63,9,Australia,71,356,399.9083251953125,0.5056179775280899,0,3,4,4,11,Potential Loyal,0.5146045930369141
12394,2011-10-07 08:08:00,2011-05-06 14:01:00,2,1080.48,808,25,3,Belgium,63,153,540.239990234375,0.3921568627450981,0,3,2,3,8,Potential Loyal,0.19245873636854324
12395,2011-11-20 15:21:00,2010-04-16 10:16:00,15,4551.27,3701,144,8,Belgium,18,583,303.4180013020833,0.7718696397941681,0,5,5,5,15,Champions,0.69398445261605
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,1,931.43,591,65,7,RSA,673,0,931.4299926757812,1.0,0,1,1,3,5,Lost,0.7578249438886578
12397,2011-11-04 09:52:00,2011-07-27 14:21:00,2,2214.9,1250,109,9,Belgium,35,99,1107.449951171875,0.6060606060606061,0,4,2,4,10,Loyal,0.7023124132551336
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1435.66,1389,84,8,Switzerland,45,0,1435.6600341796875,1.0,0,4,1,4,9,Loyal,0.7065181773814637
12399,2011-08-12 13:15:00,2010-03-05 08:45:00,7,1842.3,2190,66,9,Belgium,118,525,263.1857212611607,0.4,0,3,4,4,11,Potential Loyal,0.7007206316496102
12400,2010-10-21 13:45:00,2010-10-21 13:45:00,1,205.25,91,11,4,Australia,413,0,205.25,1.0,0,1,1,1,3,Lost,0.5467872423311761
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,69.299995,10,4,2,Belgium,302,0,69.29999542236328,1.0,0,2,1,1,4,Lost,0.2652949955741215
12402,2011-01-20 13:49:00,2010-02-07 12:41:00,6,1136.9,576,42,5,Belgium,322,347,189.48333740234375,0.5187319884726225,0,2,4,3,9,At Risk,0.5070694674185031
12403,2011-10-21 10:51:00,2010-07-06 11:39:00,2,947.36,256,4,2,Denmark,49,471,473.67999267578125,0.12738853503184713,0,4,2,3,9,Loyal,0.019842215261879917
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1390.39,849,53,7,Finland,148,0,1390.3900146484375,1.0,0,3,1,4,8,Potential Loyal,0.5284584815098758
12406,2011-11-17 19:22:00,2010-01-11 14:04:00,5,6390.36,3416,114,10,Denmark,21,675,1278.07197265625,0.2222222222222222,0,4,4,5,13,Champions,0.6613038540894793
12407,2011-10-21 10:11:00,2011-03-20 13:21:00,5,1507.12,1403,56,6,Belgium,49,214,301.4239990234375,0.7009345794392523,0,4,4,4,12,Loyal,0.4551487074910794
12408,2011-11-07 12:27:00,2010-07-29 13:27:00,8,3905.77,2200,103,10,Belgium,32,465,488.22125244140625,0.5161290322580645,0,4,4,5,13,Champions,0.6934941501781271
12409,2011-09-22 10:38:00,2010-05-23 15:21:00,7,23419.29,13143,177,10,Switzerland,78,486,3345.612723214286,0.4320987654320988,0,3,4,5,12,Potential Loyal,0.8442439449724075
12410,2011-02-04 10:39:00,2010-07-25 13:26:00,3,773.71,335,35,7,Switzerland,308,193,257.90334065755206,0.46632124352331605,0,2,3,3,8,At Risk,0.6275732662014463
12411,2010-10-26 09:25:00,2010-10-26 09:25:00,1,346.9,138,22,6,Australia,409,0,346.8999938964844,1.0,0,1,1,2,4,Lost,0.6083428183913164
12412,2011-09-26 10:16:00,2010-06-18 13:22:00,6,2404.93,1986,81,8,Denmark,74,464,400.8216552734375,0.3879310344827586,0,3,4,4,11,Potential Loyal,0.6484418031099212
12413,2011-10-04 09:00:00,2010-11-02 13:26:00,4,871.45,313,40,5,France,66,335,217.8625030517578,0.35820895522388063,0,3,3,3,9,Potential Loyal,0.6282288298930953
12414,2011-05-06 14:51:00,2010-09-02 12:22:00,4,532.41,489,19,6,Austria,216,246,133.1024932861328,0.48780487804878053,0,2,3,2,7,At Risk,0.6857339189837522
12415,2011-11-15 14:22:00,2010-06-30 08:30:00,24,144003.38,91419,495,10,Australia,23,503,6000.140625,1.4314115308151094,0,4,5,5,14,Champions,0.7845779164436185
12416,2010-02-21 10:19:00,2010-02-21 10:19:00,1,202.56,132,11,3,Australia,656,0,202.55999755859375,1.0,0,1,1,1,3,Lost,0.3298672408615423
12417,2011-12-06 14:52:00,2009-12-06 10:30:00,20,6017.91,2841,269,10,Belgium,2,730,300.8955078125,0.8219178082191781,0,5,5,5,15,Champions,0.7215774917916923
12418,2011-08-19 11:08:00,2010-03-19 14:47:00,4,2021.2,1088,90,10,Switzerland,112,517,505.29998779296875,0.23210831721470018,0,3,3,4,10,Potential Loyal,0.7550689605069322
12419,2010-11-19 10:04:00,2010-10-22 10:40:00,2,391.01,227,22,6,Spain,385,27,195.5050048828125,2.0,0,2,2,2,6,Lost,0.7242673333686828
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,345,29,5,Cyprus,63,0,600.3900146484375,1.0,0,3,1,2,6,Potential Loyal,0.5871338440005952
12421,2011-11-24 09:07:00,2010-07-22 13:57:00,6,874.6,644,43,7,Spain,15,489,145.76666259765625,0.36809815950920244,0,5,4,3,12,Loyal,0.6449816164242611
12422,2011-09-05 09:48:00,2009-12-18 12:44:00,12,3639.35,2579,135,9,Switzerland,95,625,303.2791748046875,0.5760000000000001,0,3,5,5,13,Champions,0.6074984342846523
12423,2011-12-09 10:10:00,2010-08-31 09:31:00,10,2301.39,1772,127,8,Belgium,0,465,230.1389892578125,0.6451612903225806,0,5,5,4,14,Champions,0.7831882188225855
12424,2011-06-30 12:06:00,2010-06-09 15:15:00,4,3340.03,2025,78,8,Australia,162,385,835.0075073242188,0.3116883116883117,0,3,3,5,11,Potential Loyal,0.7471259328900904
12425,2011-09-22 17:31:00,2010-09-17 14:10:00,2,1741.41,1147,87,8,Portugal,77,370,870.7050170898438,0.16216216216216214,0,3,2,4,9,Potential Loyal,0.7811979325871863
12426,2011-05-29 12:26:00,2010-02-15 08:41:00,2,1201.21,576,72,7,Germany,194,468,600.60498046875,0.12820512820512822,0,2,2,3,7,Lost,0.6062979026476754
12427,2011-11-18 08:56:00,2010-12-03 10:44:00,3,949.3,602,25,7,Germany,21,349,316.43332926432294,0.25787965616045844,0,4,3,3,10,Loyal,0.5325404833474049
12428,2011-11-14 08:22:00,2011-03-01 09:33:00,8,6405.26,3509,256,10,Finland,25,257,800.657470703125,0.933852140077821,0,4,4,5,13,Champions,0.7438778543972437
12429,2011-11-30 17:22:00,2010-06-11 13:28:00,8,6979.91,3317,123,9,Denmark,8,537,872.48876953125,0.446927374301676,0,5,4,5,14,Champions,0.7823112782086314
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,216.4,116,10,3,Norway,42,0,216.39999389648438,1.0,0,4,1,1,6,Loyal,0.40892932463419557
12431,2011-11-04 11:55:00,2010-01-15 09:04:00,25,10527.97,4695,243,9,Australia,35,658,421.1187890625,1.1398176291793314,0,4,5,5,14,Champions,0.7695611471225532
12432,2011-10-28 11:43:00,2011-06-20 13:27:00,4,4269.32,1728,104,9,Norway,42,129,1067.3299560546875,0.9302325581395349,0,4,3,5,12,Loyal,0.629103930300466
12433,2011-12-09 10:02:00,2010-08-20 09:23:00,10,20581.26,17116,285,10,Norway,0,476,2058.1259765625,0.6302521008403361,0,5,5,5,15,Champions,0.5956032290880064
12434,2011-09-16 12:38:00,2010-11-23 13:38:00,3,1103.43,532,62,7,Australia,84,296,367.8100179036458,0.30405405405405406,0,3,3,3,9,Potential Loyal,0.6780236957560458
12435,2011-09-21 09:06:00,2009-12-02 13:58:00,6,13925.93,4958,88,10,Denmark,79,657,2320.98828125,0.27397260273972607,0,3,4,5,12,Potential Loyal,0.7875985650111681
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,429.01,209,15,3,Norway,99,0,429.010009765625,1.0,0,3,1,2,6,Potential Loyal,0.20983686099726798
12437,2011-12-08 11:35:00,2009-12-02 16:24:00,38,11282.4,7922,272,9,France,1,735,296.9052734375,1.5510204081632653,0,5,5,5,15,Champions,0.7424076989549105
12438,2011-11-25 13:28:00,2011-07-22 13:29:00,2,2466.85,1169,83,9,Norway,13,125,1233.425048828125,0.48,0,5,2,4,11,Loyal,0.6885328185084573
12439,2010-01-26 12:11:00,2009-12-14 08:40:00,2,1158.1799,484,69,9,Cyprus,682,43,579.0899658203125,1.3953488372093024,0,1,2,3,6,Lost,0.6815185186675331
12440,2010-09-03 13:11:00,2009-12-22 12:03:00,2,739.2,328,20,2,Austria,461,255,369.6000061035156,0.23529411764705882,0,1,2,3,6,Lost,0.25256538895558067
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,311.1,240,10,4,France,366,0,311.1000061035156,1.0,0,2,1,2,5,Lost,0.34779512299853904
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,144.06,181,11,4,Spain,2,0,144.05999755859375,1.0,0,5,1,1,7,Loyal,0.5206702963205636
12443,2009-12-07 15:42:00,2009-12-07 15:42:00,1,365.31,179,20,8,Norway,731,0,365.30999755859375,1.0,0,1,1,2,4,Lost,0.6154212798735543
12444,2011-11-18 13:23:00,2011-06-21 14:00:00,5,4085.46,1130,137,10,Norway,20,149,817.0919921875,1.006711409395973,0,4,4,5,13,Champions,0.5816273836533993
12445,2011-11-17 18:43:00,2010-10-15 12:28:00,2,378.98,204,23,4,Spain,21,398,189.49000549316406,0.1507537688442211,0,4,2,2,8,Loyal,0.568848895432737
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1002.31,351,57,7,RSA,57,0,1002.3099975585938,1.0,0,4,1,3,8,Loyal,0.657435001288061
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,431.49,187,25,3,Belgium,242,0,431.489990234375,1.0,0,2,1,2,5,Lost,0.39005350998848126
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,365.45,240,21,6,Spain,43,0,365.45001220703125,1.0,0,4,1,2,7,Loyal,0.665560472203692
12449,2011-11-17 13:46:00,2010-09-27 09:37:00,5,4274.89,2247,124,10,Belgium,21,416,854.97802734375,0.3605769230769231,0,4,4,5,13,Champions,0.8134133939626507
12450,2011-07-06 14:41:00,2010-08-22 13:11:00,5,688.2,442,31,5,Spain,155,318,137.64000244140624,0.4716981132075472,0,3,4,3,10,Potential Loyal,0.5229054203105152
12451,2011-11-29 08:40:00,2010-06-28 12:58:00,8,12629.88,9358,351,10,Switzerland,10,518,1578.7349853515625,0.46332046332046334,0,5,4,5,14,Champions,0.7281089891214857
12452,2011-11-23 08:05:00,2011-11-23 08:05:00,1,348.57,181,20,7,Switzerland,16,0,348.57000732421875,1.0,0,5,1,2,8,Loyal,0.7726372174678611
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09,473,43,8,Austria,133,0,707.0900268554688,1.0,0,3,1,3,7,Potential Loyal,0.7057340387623788
12454,2011-10-14 17:13:00,2010-10-14 17:33:00,4,16459.78,7702,23,7,Spain,55,364,4114.94482421875,0.32967032967032966,0,4,3,5,12,Loyal,0.6246812098244071
12455,2011-09-27 15:31:00,2009-12-18 12:33:00,9,5722.95,3295,198,9,Cyprus,72,648,635.8833550347222,0.41666666666666663,0,3,5,5,13,Champions,0.7392033779158053
12456,2011-10-26 14:41:00,2011-03-30 09:12:00,3,2581.04,1618,104,8,Switzerland,43,210,860.3466796875,0.42857142857142855,0,4,3,4,11,Loyal,0.7472815244284216
12457,2011-10-04 13:13:00,2010-09-30 17:59:00,7,2555.91,1083,62,9,Switzerland,65,368,365.12998744419644,0.5706521739130435,0,3,4,4,11,Potential Loyal,0.7274100209356013
12458,2011-09-29 15:25:00,2010-08-09 10:33:00,4,1502.49,979,70,8,Switzerland,70,416,375.62249755859375,0.28846153846153844,0,3,3,4,10,Potential Loyal,0.8037765270173813
12459,2010-04-13 14:53:00,2010-04-13 14:53:00,1,398.36002,256,22,7,Spain,604,0,398.3600158691406,1.0,0,1,1,2,4,Lost,0.7481382085174574
12460,2010-09-09 13:51:00,2010-09-09 13:51:00,1,296.65,168,17,5,Belgium,455,0,296.6499938964844,1.0,0,1,1,2,4,Lost,0.5779835862095821
12461,2011-07-08 10:23:00,2011-07-08 10:23:00,1,626.88,282,34,7,Switzerland,154,0,626.8800048828125,1.0,0,3,1,3,7,Potential Loyal,0.6388916615694533
12462,2011-11-21 09:11:00,2011-02-09 14:44:00,2,937.59,527,50,7,Spain,18,284,468.7950134277344,0.2112676056338028,0,5,2,3,10,Loyal,0.652805737261553
12463,2011-10-17 13:44:00,2011-04-12 12:47:00,4,1200.78,768,64,9,Belgium,52,188,300.19500732421875,0.6382978723404256,0,4,3,3,10,Loyal,0.8194791278446752
12464,2011-11-29 13:33:00,2011-02-03 13:30:00,8,957.05,95,5,2,Belgium,9,299,119.6312484741211,0.802675585284281,0,5,4,3,12,Loyal,0.19689771124211441
12465,2011-11-22 16:34:00,2011-06-23 13:37:00,2,682.19,475,45,7,Belgium,16,152,341.0950012207031,0.39473684210526316,0,5,2,3,10,Loyal,0.7277834090318291
12467,2010-10-12 15:41:00,2010-10-12 15:41:00,1,132.8,129,9,4,USA,422,0,132.8000030517578,1.0,0,1,1,1,3,Lost,0.38940097267477386
12468,2011-06-05 11:36:00,2010-01-26 10:09:00,5,3238.74,2177,126,8,Germany,187,495,647.747998046875,0.30303030303030304,0,2,4,5,11,At Risk,0.6235616138122735
12469,2010-07-05 12:40:00,2010-06-21 10:30:00,2,3070.54,2552,76,7,Thailand,522,14,1535.27001953125,2.0,0,1,2,5,8,Lost,0.5815973269656743
12470,2010-01-19 11:01:00,2010-01-19 11:01:00,1,211.95,95,23,6,Unspecified,689,0,211.9499969482422,1.0,0,1,1,1,3,Lost,0.5344634135005678
12471,2011-12-07 15:43:00,2009-12-07 10:41:00,71,35145.5,16636,252,10,Germany,1,730,495.00704225352115,2.9178082191780823,0,5,5,5,15,Champions,0.7759364577159643
12472,2011-11-07 14:01:00,2009-12-14 10:49:00,19,16494.59,11273,396,9,Germany,31,693,868.1363075657895,0.8225108225108224,0,4,5,5,14,Champions,0.7712124876548475
12473,2011-10-17 11:27:00,2011-06-01 10:15:00,3,2566.23,2395,136,8,Germany,53,138,855.4099934895834,0.6521739130434783,0,4,3,4,11,Loyal,0.8146966201113572
12474,2011-11-22 14:39:00,2010-02-11 09:41:00,29,11362.45,7895,368,9,Germany,16,649,391.80862742456895,1.3405238828967643,0,5,5,5,15,Champions,0.7811733975704475
12475,2011-10-17 10:10:00,2010-10-26 08:49:00,2,1065.64,766,53,7,Germany,53,356,532.8200073242188,0.16853932584269662,0,4,2,3,9,Loyal,0.6998889196410607
12476,2011-11-24 12:40:00,2010-07-26 09:04:00,18,12351.41,5547,357,10,Germany,15,486,686.189453125,1.1111111111111112,0,5,5,5,15,Champions,0.8631455435157394
12477,2011-11-17 09:51:00,2010-03-26 14:01:00,9,20276.37,6119,295,10,Germany,22,600,2252.9299045138887,0.45,0,4,5,5,14,Champions,0.6928467614929795
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,1,545.99,233,35,7,Greece,3,0,545.989990234375,1.0,0,5,1,2,8,Loyal,0.7573624884129682
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,473.2,382,30,5,Germany,10,0,473.20001220703125,1.0,0,5,1,2,8,Loyal,0.567545511331589
12480,2011-11-11 14:52:00,2010-07-20 13:21:00,7,4834.85,2917,176,9,Germany,27,479,690.69287109375,0.4384133611691023,0,4,4,5,13,Champions,0.7284348532149361
12481,2011-11-17 08:29:00,2010-04-11 13:10:00,14,11191.39,7204,247,10,Germany,22,584,799.3849748883929,0.7191780821917809,0,4,5,5,14,Champions,0.7791253603537942
12482,2010-05-12 16:51:00,2010-02-24 10:24:00,27,21941.719,27040,41,7,Sweden,575,77,812.65625,10.519480519480519,0,1,5,5,11,At Risk,0.6970593594695129
12483,2011-11-22 17:02:00,2010-01-31 13:28:00,19,4092.58,2143,67,8,Sweden,16,660,215.39895148026315,0.8636363636363636,0,5,5,5,15,Champions,0.6776489243950302
12484,2011-11-04 15:18:00,2010-01-27 16:41:00,9,5573.15,3242,328,9,Spain,34,645,619.2388780381945,0.4186046511627907,0,4,5,5,14,Champions,0.7534541794662551
12485,2010-06-28 15:22:00,2010-06-28 15:22:00,1,708.1,414,34,5,Sweden,528,0,708.0999755859375,1.0,0,1,1,3,5,Lost,0.6546394876879708
12486,2010-10-04 12:14:00,2010-10-04 12:14:00,1,917.28,520,48,8,Sweden,431,0,917.280029296875,1.0,0,1,1,3,5,Lost,0.7459371436364215
12487,2009-12-09 11:36:00,2009-12-09 11:36:00,1,285.3,174,2,2,Sweden,730,0,285.29998779296875,1.0,0,1,1,1,3,Lost,0.1996421419417617
12488,2011-11-30 08:50:00,2011-09-25 10:34:00,3,1244.66,526,45,6,France,9,65,414.8866780598958,1.3846153846153848,0,5,3,4,12,Loyal,0.6794610922567247
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,298.93,103,14,4,France,335,0,298.92999267578125,1.0,0,2,1,2,5,Lost,0.5841929576377907
12490,2011-12-04 16:07:00,2009-12-01 12:52:00,20,8764.64,5849,194,9,France,4,733,438.231982421875,0.8185538881309686,0,5,5,5,15,Champions,0.788178018955462
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,1,424.4,258,24,7,France,38,0,424.3999938964844,1.0,0,4,1,2,7,Loyal,0.6722827552345464
12492,2011-10-07 15:15:00,2010-11-01 14:58:00,3,607.21,438,37,7,Germany,62,340,202.4033406575521,0.2647058823529412,0,3,3,2,8,Potential Loyal,0.7078926506687323
12493,2011-06-27 10:17:00,2011-05-26 14:53:00,2,379.74,204,18,4,France,165,31,189.8699951171875,1.9354838709677418,0,3,2,2,7,Potential Loyal,0.3642025124606601
12494,2011-11-24 09:34:00,2010-05-12 13:52:00,9,1602.87,973,82,7,France,15,560,178.09666612413196,0.4821428571428571,0,5,5,4,14,Champions,0.6808132631536656
12495,2010-03-09 10:53:00,2010-03-09 10:53:00,1,277.4,128,16,4,Sweden,640,0,277.3999938964844,1.0,0,1,1,1,3,Lost,0.5518447984520054
12496,2010-03-29 14:06:00,2010-03-29 13:57:00,2,54.09,33,10,4,Spain,619,0,27.045000076293945,2.0,0,1,2,1,4,Lost,0.49518701298247786
12497,2011-09-19 12:29:00,2010-03-05 09:39:00,3,5996.5,5671,40,6,Germany,81,563,1998.8333333333333,0.15985790408525755,0,3,3,5,11,Potential Loyal,0.556769749069326
12498,2011-11-18 12:53:00,2011-10-13 09:30:00,3,349.7,156,20,5,Germany,20,36,116.56667073567708,2.5,0,4,3,2,9,Loyal,0.5458497583584705
12499,2010-05-28 15:12:00,2010-05-28 15:12:00,1,357.72,300,26,4,Germany,559,0,357.7200012207031,1.0,0,1,1,2,4,Lost,0.5548655505697623
12500,2011-11-16 16:20:00,2010-02-04 15:05:00,18,5559.21,3355,87,7,Germany,22,650,308.8449978298611,0.8307692307692307,0,4,5,5,14,Champions,0.56780862706562
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2025.39,1775,148,8,Germany,336,0,2025.3900146484375,1.0,0,2,1,4,7,Lost,0.7128178764090803
