StockCode,Description,Degree,PageRank,BetweennessCentrality,Community
22961,JAM MAKING SET PRINTED,367,0.001407,0.005883,2
20972,PINK CREAM FELT CRAFT TRINKET BOX ,443,0.001403,0.001271,1
20727,LUNCH BAG  BLACK SKULL.,496,0.001401,0.063072,1
21733,RED HANGING HEART T-LIGHT HOLDER,485,0.001395,0.003003,0
22383,LUNCH BAG SUKI  DESIGN ,489,0.001395,0.024607,1
22111,SCOTTIE DOG HOT WATER BOTTLE,482,0.001384,0.008026,0
21843,RED RETROSPOT CAKE STAND,466,0.001379,0.093836,1
21485,RETROSPOT HEART HOT WATER BOTTLE,423,0.001369,0.016535,0
22382,LUNCH BAG SPACEBOY DESIGN ,456,0.001367,0.024837,1
84836,ZINC METAL HEART DECORATION,419,0.00136,0.001166,0
22112,CHOCOLATE HOT WATER BOTTLE,477,0.001358,0.022376,0
21181,PLEASE ONE PERSON METAL SIGN,467,0.001354,0.01818,2
22666,RECIPE BOX PANTRY YELLOW DESIGN,434,0.001327,0.00018,2
20728,LUNCH BAG CARS BLUE,465,0.001325,0.002509,1
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,353,0.001325,0.008049,1
22952,60 CAKE CASES VINTAGE CHRISTMAS,293,0.001317,0.00297,0
22727,ALARM CLOCK BAKELIKE RED ,390,0.001315,0.011749,2
23203,JUMBO BAG VINTAGE DOILY ,346,0.001309,0.005765,1
22158,3 HEARTS HANGING DECORATION RUSTIC,202,0.001308,0.000645,0
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,348,0.001308,0.0,1
23209,LUNCH BAG VINTAGE DOILY ,320,0.001305,0.046808,1
82484,WOOD BLACK BOARD ANT WHITE FINISH,367,0.001294,0.004536,0
22189,CREAM HEART CARD HOLDER,409,0.001291,0.00356,0
82483,WOOD 2 DRAWER CABINET WHITE FINISH,318,0.001269,0.001355,0
21231,SWEETHEART CERAMIC TRINKET BOX,389,0.001256,0.000686,1
22629,SPACEBOY LUNCH BOX ,298,0.001255,0.002282,1
85066,CREAM SWEETHEART MINI CHEST,328,0.001254,0.001376,0
21498,RED RETROSPOT WRAP ,319,0.001254,0.003224,1
20724,RED RETROSPOT CHARLOTTE BAG,421,0.001248,0.001099,1
23245,SET OF 3 REGENCY CAKE TINS,274,0.001245,0.0,2
84978,HANGING HEART JAR T-LIGHT HOLDER,393,0.001236,0.005876,0
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,203,0.001236,0.001289,0
21791,VINTAGE HEADS AND TAILS CARD GAME ,325,0.001229,0.004012,1
22029,SPACEBOY BIRTHDAY CARD,267,0.00122,0.0,1
84970S,HANGING HEART ZINC T-LIGHT HOLDER,409,0.001218,0.001454,0
22993,SET OF 4 PANTRY JELLY MOULDS,294,0.001193,0.001903,2
20726,LUNCH BAG WOODLAND,391,0.001189,0.002017,1
84029E,RED WOOLLY HOTTIE WHITE HEART.,331,0.001187,0.001948,0
22585,PACK OF 6 BIRDY GIFT TAGS,352,0.001184,0.00767,0
22384,LUNCH BAG PINK POLKADOT,449,0.00118,0.002718,1
20685,DOORMAT RED RETROSPOT,481,0.00118,0.006041,1
22624,IVORY KITCHEN SCALES,389,0.00118,0.000107,2
22114,HOT WATER BOTTLE TEA AND SYMPATHY,401,0.001179,0.005544,0
21175,GIN + TONIC DIET METAL SIGN,374,0.001169,0.001882,2
22090,PAPER BUNTING RETROSPOT,392,0.001163,0.004714,1
22355,CHARLOTTE BAG SUKI DESIGN,365,0.001161,0.001316,1
23355,HOT WATER BOTTLE KEEP CALM,222,0.001161,0.007024,0
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,176,0.001159,0.003223,0
22551,PLASTERS IN TIN SPACEBOY,284,0.001157,0.015009,1
72741,GRAND CHOCOLATECANDLE,278,0.001154,0.027368,2
22630,DOLLY GIRL LUNCH BOX,268,0.001141,0.000685,1
22492,MINI PAINT SET VINTAGE ,251,0.001126,0.005242,1
22726,ALARM CLOCK BAKELIKE GREEN,317,0.001125,0.004683,2
79321,CHILLI LIGHTS,363,0.001124,0.008589,2
21868,POTTING SHED TEA MUG,270,0.00112,0.0,2
20750,RED RETROSPOT MINI CASES,308,0.001115,0.00129,1
71459,HANGING JAM JAR T-LIGHT HOLDER,369,0.001109,0.00015,0
22083,PAPER CHAIN KIT RETROSPOT,380,0.001102,0.004652,1
22617,BAKING SET SPACEBOY DESIGN,334,0.001099,5.8e-05,1
20719,WOODLAND CHARLOTTE BAG,295,0.001098,0.058443,1
21213,PACK OF 72 SKULL CAKE CASES,306,0.001096,0.000762,1
22561,WOODEN SCHOOL COLOURING SET,276,0.001096,0.000645,1
22427,ENAMEL FLOWER JUG CREAM,303,0.001094,0.001691,0
21915,RED  HARMONICA IN BOX ,313,0.001086,0.00152,1
22556,PLASTERS IN TIN CIRCUS PARADE ,285,0.001086,0.003517,1
21535,RED RETROSPOT SMALL MILK JUG,309,0.00108,0.002289,1
35970,ZINC FOLKART SLEIGH BELLS,170,0.001079,0.000645,0
21985,PACK OF 12 HEARTS DESIGN TISSUES ,216,0.001078,0.002196,1
22694,WICKER STAR ,236,0.001076,0.0,0
22699,ROSES REGENCY TEACUP AND SAUCER ,335,0.001072,0.0,2
47591D,PINK FAIRY CAKE CHILDRENS APRON,306,0.00107,0.000699,1
22865,HAND WARMER OWL DESIGN,301,0.00107,0.001289,0
48187,DOORMAT NEW ENGLAND,397,0.001068,0.008587,0
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,431,0.001064,0.005792,1
85152,HAND OVER THE CHOCOLATE   SIGN ,321,0.001062,0.005016,2
22554,PLASTERS IN TIN WOODLAND ANIMALS,263,0.001062,0.0,1
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,192,0.001056,0.0,0
21524,DOORMAT SPOTTY HOME SWEET HOME,362,0.001049,0.002326,2
82580,BATHROOM METAL SIGN,261,0.001047,0.010106,2
21210,SET OF 72 RETROSPOT PAPER  DOILIES,284,0.001038,0.0,1
84992,72 SWEETHEART FAIRY CAKE CASES,278,0.001037,3e-06,1
22595,GINGHAM HEART DECORATION,218,0.00103,0.006055,0
21914,BLUE HARMONICA IN BOX ,276,0.001029,0.001177,1
22487,WHITE WOOD GARDEN PLANT LADDER,304,0.001025,1.9e-05,0
22147,FELTCRAFT BUTTERFLY HEARTS,292,0.001018,0.001404,1
21217,RED SPOTTY ROUND CAKE TINS,292,0.001015,4e-06,1
20971,PINK BLUE FELT CRAFT TRINKET BOX,292,0.001013,0.000535,1
22558,CLOTHES PEGS RETROSPOT PACK 24 ,323,0.001006,1.1e-05,1
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,293,0.001002,0.000141,0
48194,DOORMAT HEARTS,388,0.001001,0.008354,0
22659,LUNCH BOX I LOVE LONDON,248,0.000997,0.0,1
22367,CHILDRENS APRON SPACEBOY DESIGN,266,0.000994,0.0,1
22379,RECYCLING BAG RETROSPOT ,350,0.000994,0.000634,1
21527,RED RETROSPOT TRADITIONAL TEAPOT ,263,0.000988,0.000598,1
22835,HOT WATER BOTTLE I AM SO POORLY,264,0.000987,0.006566,0
22722,SET OF 6 SPICE TINS PANTRY DESIGN,223,0.000985,0.001247,2
21975,PACK OF 60 DINOSAUR CAKE CASES,255,0.000983,0.000645,1
22113,GREY HEART HOT WATER BOTTLE,270,0.000978,0.0,0
22241,GARLAND WOODEN HAPPY EASTER,105,0.000976,0.003864,3
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,246,0.000971,0.0,1
21533,RETRO SPOT LARGE MILK JUG,278,0.000957,0.00063,1
23202,JUMBO BAG VINTAGE LEAF,247,0.000956,0.004467,1
21931,JUMBO STORAGE BAG SUKI,394,0.000956,0.032149,1
82600,NO SINGING METAL SIGN,256,0.000948,3e-06,2
21156,RETROSPOT CHILDRENS APRON,235,0.000946,0.0,1
22621,TRADITIONAL KNITTING NANCY,260,0.000944,0.00029,1
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,251,0.000936,0.0,1
84050,PINK HEART SHAPE EGG FRYING PAN,207,0.000931,0.000453,2
22381,TOY TIDY PINK RETROSPOT  ,285,0.00093,0.000652,1
15056BL,EDWARDIAN PARASOL BLACK,247,0.000929,0.001657,2
48185,DOORMAT FAIRY CAKE,252,0.000929,0.0,1
22356,CHARLOTTE BAG PINK POLKADOT,285,0.000926,0.000645,1
21519,GIN & TONIC DIET GREETING CARD ,169,0.000924,0.001935,1
21889,WOODEN BOX OF DOMINOES,268,0.000924,0.0,1
84378,SET OF 3 HEART COOKIE CUTTERS,269,0.000917,0.0,1
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,223,0.000916,0.0,0
85099C,JUMBO  BAG BAROQUE BLACK WHITE,355,0.000915,0.007631,1
85099F,JUMBO BAG STRAWBERRY,350,0.000906,0.012156,1
21166,COOK WITH WINE METAL SIGN ,293,0.000905,0.001356,2
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,209,0.000904,0.001935,0
22728,ALARM CLOCK BAKELIKE PINK,244,0.000901,0.000257,2
22386,JUMBO BAG PINK POLKADOT,399,0.0009,0.025256,1
22867,HAND WARMER BIRD DESIGN,231,0.000897,0.00019,0
21622,VINTAGE UNION JACK CUSHION COVER,206,0.000893,0.000645,0
22568,FELTCRAFT CUSHION OWL,252,0.000893,0.0,1
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,247,0.000892,0.014324,1
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,155,0.000889,0.000645,0
22697,GREEN REGENCY TEACUP AND SAUCER,282,0.000888,0.000265,2
22667,RECIPE BOX RETROSPOT ,260,0.000887,0.0,1
22150,3 STRIPEY MICE FELTCRAFT,223,0.000887,0.018137,1
21314,SMALL GLASS HEART TRINKET POT,243,0.000883,0.002123,0
21523,DOORMAT FANCY FONT HOME SWEET HOME,265,0.000882,0.018,2
21155,RED RETROSPOT PEG BAG,249,0.000882,0.0,1
15056N,EDWARDIAN PARASOL NATURAL,253,0.00088,0.008363,2
22151,PLACE SETTING WHITE HEART,201,0.000875,0.0,0
22027,TEA PARTY BIRTHDAY CARD,180,0.000874,0.0,1
23284,DOORMAT KEEP CALM AND COME IN,232,0.000869,0.00129,0
71053,WHITE METAL LANTERN,230,0.000862,0.006797,0
22652,TRAVEL SEWING KIT,236,0.000862,0.0,1
15036,ASSORTED COLOURS SILK FAN,229,0.00086,0.00365,1
84949,SILVER HANGING T-LIGHT HOLDER,185,0.000857,0.000645,0
21936,RED RETROSPOT PICNIC BAG,261,0.000855,9.4e-05,1
23206,LUNCH BAG APPLE DESIGN,226,0.000853,0.0,1
20723,STRAWBERRY CHARLOTTE BAG,248,0.000849,6e-06,1
22084,PAPER CHAIN KIT EMPIRE,244,0.000849,0.0,2
20718,RED RETROSPOT SHOPPER BAG,241,0.000841,3.5e-05,1
23201,JUMBO BAG ALPHABET,228,0.000841,0.0,1
84987,SET OF 36 TEATIME PAPER DOILIES,177,0.000841,0.0,1
22467,GUMBALL COAT RACK,278,0.00084,0.000334,1
84406B,CREAM CUPID HEARTS COAT HANGER,189,0.000839,0.000401,0
47559B,TEA TIME OVEN GLOVE,167,0.000837,0.000645,1
23344,JUMBO BAG 50'S CHRISTMAS ,164,0.000835,0.00049,0
37503,TEA TIME CAKE STAND IN GIFT BOX,175,0.000832,0.000872,1
23321,SMALL WHITE HEART OF WICKER,160,0.000829,0.0,0
47590B,PINK HAPPY BIRTHDAY BUNTING,262,0.000826,0.007227,1
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,227,0.000824,0.0,1
21094,SET/6 RED SPOTTY PAPER PLATES,172,0.000821,0.002584,1
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,231,0.000817,0.000154,0
22082,RIBBON REEL STRIPES DESIGN ,210,0.000817,0.003087,0
84692,BOX OF 24 COCKTAIL PARASOLS,210,0.000815,0.0,1
22144,CHRISTMAS CRAFT LITTLE FRIENDS,153,0.000811,0.000644,0
22296,HEART IVORY TRELLIS LARGE,218,0.000811,0.0,0
22417,PACK OF 60 SPACEBOY CAKE CASES,171,0.000807,0.0,1
22333,RETROSPOT PARTY BAG + STICKER SET,168,0.000806,0.000645,1
23318,BOX OF 6 MINI VINTAGE CRACKERS,96,0.000806,0.0,0
22191,IVORY DINER WALL CLOCK,208,0.000802,0.000499,2
22625,RED KITCHEN SCALES,251,0.000802,0.0,2
22193,RED DINER WALL CLOCK,207,0.0008,0.0,2
23301,GARDENERS KNEELING PAD KEEP CALM ,205,0.000799,0.0,0
21481,FAWN BLUE HOT WATER BOTTLE,214,0.000798,0.00071,0
22464,HANGING METAL HEART LANTERN,221,0.000797,0.0,0
22969,HOMEMADE JAM SCENTED CANDLES,222,0.000797,0.0,2
22966,GINGERBREAD MAN COOKIE CUTTER,179,0.000796,0.0,2
23322,LARGE WHITE HEART OF WICKER,157,0.000795,0.000645,0
22759,SET OF 3 NOTEBOOKS IN PARCEL,203,0.000795,0.0,0
22273,FELTCRAFT DOLL MOLLY,188,0.000789,0.0,1
84988,SET OF 72 PINK HEART PAPER DOILIES,183,0.000788,0.0,1
22489,PACK OF 12 TRADITIONAL CRAYONS,161,0.000785,0.0,1
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,228,0.000784,0.003196,1
22219,LOVEBIRD HANGING DECORATION WHITE ,174,0.000784,0.003664,0
20712,JUMBO BAG WOODLAND ANIMALS,216,0.000782,0.000148,1
22499,WOODEN UNION JACK BUNTING,226,0.000778,0.000603,2
21479,WHITE SKULL HOT WATER BOTTLE ,201,0.000777,0.0,0
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,233,0.000775,0.023253,1
82581,TOILET METAL SIGN,162,0.000775,0.0,2
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,159,0.000774,0.0,0
21429,RED GINGHAM ROSE JEWELLERY BOX,217,0.000773,0.00129,1
22752,SET 7 BABUSHKA NESTING BOXES,166,0.000771,0.0,6
21506,"FANCY FONT BIRTHDAY CARD, ",153,0.000766,0.0,1
21930,JUMBO STORAGE BAG SKULLS,230,0.000766,0.0,1
20749,ASSORTED COLOUR MINI CASES,247,0.000765,0.00047,1
22560,TRADITIONAL MODELLING CLAY,147,0.000765,0.0,1
21531,RED RETROSPOT SUGAR JAM BOWL,179,0.000765,0.0,1
47566B,TEA TIME PARTY BUNTING,215,0.000762,0.015079,1
22866,HAND WARMER SCOTTY DOG DESIGN,212,0.00076,1.8e-05,0
22633,HAND WARMER UNION JACK,189,0.000758,0.001603,0
85014B,RED RETROSPOT UMBRELLA,224,0.000755,0.0,1
22776,SWEETHEART CAKESTAND 3 TIER,202,0.000755,0.0,0
22303,COFFEE MUG APPLES DESIGN,168,0.000755,0.000645,1
22413,METAL SIGN TAKE IT OR LEAVE IT ,187,0.000754,0.0,2
22607,WOODEN ROUNDERS GARDEN SET ,214,0.000754,0.003028,1
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,177,0.000754,0.0,1
21929,JUMBO BAG PINK VINTAGE PAISLEY,286,0.000753,0.00183,1
22297,HEART IVORY TRELLIS SMALL,162,0.000752,0.014031,0
23240,SET OF 4 KNICK KNACK TINS DOILY ,135,0.000746,0.0,2
21495,SKULLS AND CROSSBONES WRAP,108,0.000746,0.001934,1
21238,RED SPOTTY CUP,175,0.000746,7.6e-05,1
22294,HEART FILIGREE DOVE  SMALL,164,0.000745,0.0,0
21086,SET/6 RED SPOTTY PAPER CUPS,160,0.000744,0.0,1
21928,JUMBO BAG SCANDINAVIAN PAISLEY,254,0.000744,0.001081,1
82583,HOT BATHS METAL SIGN,196,0.000743,0.0,2
22424,ENAMEL BREAD BIN CREAM,204,0.00074,0.022583,0
21974,SET OF 36 PAISLEY FLOWER DOILIES,160,0.00074,0.0,1
23319,BOX OF 6 MINI 50'S CRACKERS,89,0.000739,0.0,0
21136,PAINTED METAL PEARS ASSORTED,214,0.000739,0.000325,0
82582,AREA PATROLLED METAL SIGN,179,0.000739,0.0,2
20676,RED RETROSPOT BOWL,167,0.000737,0.000273,1
20679,EDWARDIAN PARASOL RED,168,0.000737,0.0,2
23356,LOVE HOT WATER BOTTLE,119,0.000736,0.0,0
21174,POTTERING IN THE SHED METAL SIGN,210,0.000735,0.0,2
85206A,CREAM FELT EASTER EGG BASKET,57,0.000735,0.001935,3
22030,SWALLOWS GREETING CARD,144,0.000733,0.000573,1
22569,FELTCRAFT CUSHION BUTTERFLY,190,0.000732,0.000211,1
21777,RECIPE BOX WITH METAL HEART,113,0.000732,0.000645,0
22064,PINK DOUGHNUT TRINKET POT ,134,0.000728,0.0,1
22271,FELTCRAFT DOLL ROSIE,165,0.000727,0.0,1
85150,LADIES & GENTLEMEN METAL SIGN,200,0.000727,6.6e-05,2
22698,PINK REGENCY TEACUP AND SAUCER,209,0.000726,0.00802,2
22619,SET OF 6 SOLDIER SKITTLES,180,0.000724,0.000744,1
21871,SAVE THE PLANET MUG,169,0.000723,1.8e-05,2
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,123,0.000723,0.000645,1
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,195,0.000719,0.007909,1
16156S,WRAP PINK FAIRY CAKES ,142,0.000719,0.0,1
23535,WALL ART BICYCLE SAFETY,41,0.000716,0.008703,0
22570,FELTCRAFT CUSHION RABBIT,172,0.000715,0.000313,1
20975,12 PENCILS SMALL TUBE RED RETROSPOT,170,0.000715,0.0,1
22192,BLUE DINER WALL CLOCK,178,0.000714,0.000645,2
22907,PACK OF 20 NAPKINS PANTRY DESIGN,162,0.000711,0.0,2
20974,12 PENCILS SMALL TUBE SKULL,128,0.00071,0.000645,1
22087,PAPER BUNTING WHITE LACE,191,0.00071,0.000645,0
22045,SPACEBOY GIFT WRAP,119,0.000709,0.0,1
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,141,0.000707,0.0,0
20713,JUMBO BAG OWLS,224,0.000706,0.019899,1
21703,BAG 125g SWIRLY MARBLES,138,0.000705,0.0,1
22632,HAND WARMER RED RETROSPOT,188,0.0007,0.000705,0
22950,36 DOILIES VINTAGE CHRISTMAS,95,0.000697,0.0,0
22528,GARDENERS KNEELING PAD,150,0.000697,0.0,0
22385,JUMBO BAG SPACEBOY DESIGN,202,0.000697,0.002959,1
22295,HEART FILIGREE DOVE LARGE,161,0.000696,0.0,0
22141,CHRISTMAS CRAFT TREE TOP ANGEL,116,0.000695,0.0,0
21259,VICTORIAN SEWING BOX SMALL ,197,0.000695,0.0,0
21870,I CAN ONLY PLEASE ONE PERSON MUG,153,0.000693,0.0,2
22662,LUNCH BAG DOLLY GIRL DESIGN,162,0.000691,0.000656,1
22429,ENAMEL MEASURING JUG CREAM,141,0.00069,0.0,2
16161P,WRAP ENGLISH ROSE ,139,0.000689,0.0,1
21955,DOORMAT UNION JACK GUNS AND ROSES,155,0.000688,0.0,2
20754,RETROSPOT RED WASHING UP GLOVES,140,0.000687,7.1e-05,1
21539,RED RETROSPOT BUTTER DISH,165,0.000685,0.0,1
21908,CHOCOLATE THIS WAY METAL SIGN,162,0.000685,0.0,2
22555,PLASTERS IN TIN STRONGMAN,168,0.000684,0.013763,1
48184,DOORMAT ENGLISH ROSE ,221,0.000684,0.001959,2
22488,NATURAL SLATE RECTANGLE CHALKBOARD,187,0.000683,0.003145,0
21035,SET/2 RED SPOTTY TEA TOWELS ,174,0.000683,0.0,1
21172,PARTY METAL SIGN ,170,0.000681,0.0,2
22291,"SPRING DEC , HANGING CHICK CREAM",62,0.000681,0.0,3
21937,STRAWBERRY   PICNIC BAG,164,0.00068,0.002682,1
21484,CHICK GREY HOT WATER BOTTLE,180,0.000677,0.00363,0
23199,JUMBO BAG APPLES,169,0.000677,1.5e-05,1
22750,FELTCRAFT PRINCESS LOLA DOLL,134,0.000677,0.000645,1
22502,PICNIC BASKET WICKER SMALL,210,0.000677,0.0,1
23207,LUNCH BAG ALPHABET DESIGN,163,0.000677,0.0,1
22900, SET 2 TEA TOWELS I LOVE LONDON ,141,0.000677,0.0,1
21658,GLASS  BEURRE DISH,113,0.000676,0.000645,4
22274,FELTCRAFT DOLL EMILY,139,0.000675,0.056509,1
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,230,0.000673,0.0,0
35400,WOODEN BOX ADVENT CALENDAR ,116,0.000672,0.0,0
22431,WATERING CAN BLUE ELEPHANT,149,0.000672,0.000645,1
85175,CACTI T-LIGHT CANDLES,115,0.000671,0.00258,2
21877,HOME SWEET HOME MUG,171,0.000671,0.0,2
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",172,0.000669,0.0,1
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,78,0.000669,0.0,0
23493,VINTAGE DOILY TRAVEL SEWING KIT,90,0.000667,0.002574,10
22766,PHOTO FRAME CORNICE,151,0.000665,0.0,0
22616,PACK OF 12 LONDON TISSUES ,148,0.000665,0.006217,1
21508,VINTAGE KID DOLLY CARD ,105,0.000665,0.0,1
21499,BLUE POLKADOT WRAP,133,0.000664,0.00129,1
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,124,0.000662,0.0,2
22730,ALARM CLOCK BAKELIKE IVORY,174,0.000662,0.0,2
22142,CHRISTMAS CRAFT WHITE FAIRY ,107,0.000662,0.0,0
37448,CERAMIC CAKE DESIGN SPOTTED MUG,134,0.000662,0.0,1
22418,10 COLOUR SPACEBOY PEN,130,0.000659,0.000178,1
23293,SET OF 12 FAIRY CAKE BAKING CASES,120,0.000659,0.0,0
22712,CARD DOLLY GIRL ,96,0.000657,0.0,1
21623,VINTAGE UNION JACK MEMOBOARD,163,0.000657,0.000654,0
22456,NATURAL SLATE CHALKBOARD LARGE ,191,0.000657,0.005682,0
85049A,TRADITIONAL CHRISTMAS RIBBONS,109,0.000657,0.031216,0
22620,4 TRADITIONAL SPINNING TOPS,161,0.000653,0.0,1
23313,VINTAGE CHRISTMAS BUNTING,93,0.000653,0.0,0
22169,FAMILY ALBUM WHITE PICTURE FRAME,165,0.000652,0.0,0
21411,GINGHAM HEART  DOORSTOP RED,138,0.000651,0.00129,0
21976,PACK OF 60 MUSHROOM CAKE CASES,128,0.000651,0.0,1
47556B,TEA TIME TEA TOWELS ,118,0.000648,0.0,1
22553,PLASTERS IN TIN SKULLS,173,0.000646,0.005184,1
22602,CHRISTMAS RETROSPOT HEART WOOD,89,0.000645,0.0,0
21218,RED SPOTTY BISCUIT TIN,151,0.000645,0.0,1
22622,BOX OF VINTAGE ALPHABET BLOCKS,159,0.000643,0.0,1
22348,TEA BAG PLATE RED RETROSPOT,165,0.000643,0.0,1
22061,LARGE CAKE STAND  HANGING STRAWBERY,144,0.000643,0.0,1
82552,WASHROOM METAL SIGN,143,0.000643,0.0,0
23534,WALL ART STOP FOR TEA ,48,0.000641,0.000298,0
21670,BLUE SPOT CERAMIC DRAWER KNOB,151,0.000641,0.00112,2
21497,FANCY FONTS BIRTHDAY WRAP,138,0.000641,0.0,1
22507,MEMO BOARD RETROSPOT  DESIGN,184,0.000638,0.002697,0
85232B,SET/3 RUSSIAN DOLL STACKING TINS,132,0.000638,0.0,1
46000M,POLYESTER FILLER PAD 45x45cm,86,0.000637,0.003223,0
22855,FINE WICKER HEART ,133,0.000637,0.000645,0
22605,WOODEN CROQUET GARDEN SET,181,0.000634,0.000645,1
22574,HEART WOODEN CHRISTMAS DECORATION,82,0.000634,0.0,0
22941,CHRISTMAS LIGHTS 10 REINDEER,125,0.000631,0.0,0
48111,DOORMAT 3 SMILEY CATS,180,0.000629,0.004351,2
21669,BLUE STRIPE CERAMIC DRAWER KNOB,157,0.000629,0.0,2
22505,MEMO BOARD COTTAGE DESIGN,159,0.000628,0.0,1
22594,CHRISTMAS GINGHAM TREE,86,0.000626,0.0,0
21417,COCKLE SHELL DISH,3,0.000623,1e-06,54
22534,MAGIC DRAWING SLATE SPACEBOY ,90,0.000623,0.000645,1
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,99,0.000622,0.0,2
22745,POPPY'S PLAYHOUSE BEDROOM ,135,0.000621,0.0,1
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,160,0.000621,0.0,2
23208,LUNCH BAG VINTAGE LEAF DESIGN,130,0.000618,0.004201,1
84832,ZINC WILLIE WINKIE  CANDLE STICK,149,0.000618,0.0,0
22501,PICNIC BASKET WICKER LARGE,182,0.000618,0.0,1
22837,HOT WATER BOTTLE BABUSHKA ,126,0.000617,0.0,0
22055,MINI CAKE STAND  HANGING STRAWBERY,135,0.000617,0.0,1
20677,PINK POLKADOT BOWL,105,0.000616,0.0,1
21385,IVORY HANGING DECORATION  HEART,101,0.000616,0.0,0
