StockCode,Description,Category,TotalRevenue,TotalQty,NumInvoices,NumCustomers,AvgPrice,MaxPrice,RevenueRank,IsSingleCustomerProduct
22197,SMALL POPCORN HOLDER,Home Decor,59101.69,77971,1752,601,0.8384881,1.63,18,0
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,Lighting,57779.168,29498,525,300,2.5616636,4.96,19,0
22502,PICNIC BASKET WICKER SMALL,Home Decor,55017.6,3128,568,335,7.4203362,649.5,20,0
21621,VINTAGE UNION JACK BUNTING,Kitchen,54815.12,6542,1121,583,8.499456,16.63,21,0
15056N,EDWARDIAN PARASOL NATURAL,Home Decor,54741.457,11027,863,347,5.788066,12.46,22,0
85099C,JUMBO  BAG BAROQUE BLACK WHITE,Bags,53168.34,29447,1449,506,1.9571784,2.08,23,0
22189,CREAM HEART CARD HOLDER,Cards/Gift,52627.29,18113,1129,536,3.874987,8.29,24,0
22470,HEART OF WICKER LARGE,Home Decor,52157.68,17866,1743,827,2.9443295,5.79,25,0
21623,VINTAGE UNION JACK MEMOBOARD,Cards/Gift,51465.62,7158,499,311,9.767552,9.95,26,0
23084,RABBIT NIGHT LIGHT,Lighting,51346.2,27202,801,450,2.013943,4.13,27,0
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,Kitchen,50983.88,18524,1790,647,2.9275427,5.79,28,0
21733,RED HANGING HEART T-LIGHT HOLDER,Lighting,50010.85,17643,1631,744,2.9161863,5.79,29,0
21181,PLEASE ONE PERSON METAL SIGN,Signs,48564.0,24513,1549,598,2.0742865,2.4,30,0
21931,JUMBO STORAGE BAG SUKI,Bags,48255.8,26239,1714,546,1.9723626,4.13,31,0
22139,RETROSPOT TEA SET CERAMIC 11 PC ,Kitchen,47787.598,10107,1838,941,4.946231,10.79,32,0
22112,CHOCOLATE HOT WATER BOTTLE,Home Decor,47555.84,10326,1447,631,4.8792005,10.79,33,0
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,Christmas,47240.02,17294,1233,701,2.9205263,5.79,34,0
15056BL,EDWARDIAN PARASOL BLACK,Home Decor,46676.22,9488,788,321,5.796563,12.46,35,0
22178,VICTORIAN GLASS HANGING T-LIGHT,Lighting,46440.91,37851,1442,593,1.3436502,2.46,36,0
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,Bags,45784.63,24690,1680,658,1.9783629,4.13,37,0
48194,DOORMAT HEARTS,Home Decor,45590.18,7556,1138,516,7.547261,15.79,38,0
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,Lighting,45034.37,15489,686,302,3.237219,6.63,39,0
22469,HEART OF WICKER SMALL,Home Decor,45020.95,27182,1779,886,1.6383939,3.29,40,0
48187,DOORMAT NEW ENGLAND,Home Decor,44764.75,7205,1151,525,7.5086064,8.25,41,0
22111,SCOTTIE DOG HOT WATER BOTTLE,Home Decor,44368.047,9487,1457,717,4.895527,5.1,42,0
21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchen,44067.34,91263,2508,1115,0.54117185,1.25,43,0
21929,JUMBO BAG PINK VINTAGE PAISLEY,Bags,43883.88,24431,1228,504,1.974256,4.13,44,0
21754,HOME BUILDING BLOCK WORD,Home Decor,43837.758,7468,1831,682,5.9630947,11.63,45,0
22138,BAKING SET 9 PIECE RETROSPOT ,Kitchen,43155.06,9052,1742,1137,4.951761,10.79,46,0
21731,RED TOADSTOOL LED NIGHT LIGHT,Lighting,42913.71,27867,1043,415,1.6487079,3.29,47,0
21175,GIN + TONIC DIET METAL SIGN,Signs,42491.84,20432,1422,553,2.2631152,2.67,48,0
21928,JUMBO BAG SCANDINAVIAN PAISLEY,Bags,42340.918,23618,1172,450,1.9691315,4.13,49,0
21232,STRAWBERRY CERAMIC TRINKET BOX,Kitchen,41989.918,35764,1893,689,1.2399349,2.46,50,0
22090,PAPER BUNTING RETROSPOT,Kitchen,41953.19,15333,1265,631,2.9109359,5.79,51,0
21915,RED  HARMONICA IN BOX ,Home Decor,41939.65,37097,884,467,1.2517028,2.46,52,0
21523,DOORMAT FANCY FONT HOME SWEET HOME,Home Decor,41691.668,6669,893,357,7.441847,15.79,53,0
22457,NATURAL SLATE HEART CHALKBOARD ,Home Decor,41203.92,14508,1637,874,2.95798,5.79,54,0
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,Home Decor,41078.27,14921,1147,439,2.9330578,5.79,55,0
82494L,WOODEN FRAME ANTIQUE WHITE ,Frames,40870.82,14707,1773,631,2.8981016,7.46,56,0
20727,LUNCH BAG  BLACK SKULL.,Bags,40586.2,25820,1997,705,1.6401464,1.65,57,0
48185,DOORMAT FAIRY CAKE,Kitchen,39700.88,6430,736,317,7.465614,15.79,58,0
22383,LUNCH BAG SUKI  DESIGN ,Bags,38632.7,24262,2004,664,1.6468762,4.13,59,0
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,Home Decor,38462.37,10385,992,431,3.880164,8.29,60,0
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,Home Decor,38214.64,14108,990,401,2.92122,5.79,61,0
84946,ANTIQUE SILVER TEA GLASS ETCHED,Kitchen,37794.777,32481,1323,641,1.2335277,2.46,62,0
82486,WOOD S/3 CABINET ANT WHITE FINISH,Home Decor,37753.527,4787,1188,365,8.146886,16.63,63,0
23203,JUMBO BAG VINTAGE DOILY ,Bags,37684.38,19516,1080,505,2.0553644,2.08,64,0
82482,WOODEN PICTURE FRAME WHITE FINISH,Frames,37679.598,15919,1658,601,2.560423,5.79,65,0
21166,COOK WITH WINE METAL SIGN ,Signs,37387.492,19833,1225,475,1.9772676,2.41,66,0
20728,LUNCH BAG CARS BLUE,Bags,37071.43,23575,1797,702,1.6494313,4.13,67,0
22629,SPACEBOY LUNCH BOX ,Home Decor,36862.29,20661,1108,456,1.9302932,4.13,68,0
22114,HOT WATER BOTTLE TEA AND SYMPATHY,Home Decor,36269.27,9325,1298,626,4.018526,8.29,69,0
84078A,SET/4 WHITE RETRO STORAGE CUBES ,Home Decor,36259.652,1007,234,151,38.49701,39.95,70,0
23298,SPOTTY BUNTING,Kitchen,36173.95,7785,1009,573,4.9165916,5.14,71,0
22083,PAPER CHAIN KIT RETROSPOT,Stationery,35924.86,13116,1075,589,2.9235997,5.79,72,0
23284,DOORMAT KEEP CALM AND COME IN,Home Decor,35913.85,5342,648,378,7.9135118,16.63,73,0
85066,CREAM SWEETHEART MINI CHEST,Home Decor,35889.48,2997,809,471,12.659058,24.96,74,0
20713,JUMBO BAG OWLS,Bags,35822.62,19832,920,371,1.9673145,4.13,75,0
21485,RETROSPOT HEART HOT WATER BOTTLE,Home Decor,35559.18,7562,1225,657,4.9200606,10.79,76,0
84029E,RED WOOLLY HOTTIE WHITE HEART.,Home Decor,35261.07,10299,956,500,3.7729003,8.29,77,0
22960,JAM MAKING SET WITH JARS,Kitchen,34851.72,8702,903,583,4.181705,8.29,78,0
21524,DOORMAT SPOTTY HOME SWEET HOME,Home Decor,33665.65,5130,1000,474,7.539951,16.63,79,0
22699,ROSES REGENCY TEACUP AND SAUCER ,Kitchen,33662.7,12374,1070,524,2.9144096,5.79,80,0
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,Kitchen,33347.8,7020,1146,640,4.953615,10.79,81,0
20726,LUNCH BAG WOODLAND,Bags,33333.11,21115,1585,585,1.6512063,4.13,82,0
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,Home Decor,33271.88,9034,932,433,3.8407733,8.29,83,0
22384,LUNCH BAG PINK POLKADOT,Bags,32681.5,20494,1845,681,1.6479084,4.13,84,0
22188,BLACK HEART CARD HOLDER,Cards/Gift,32379.54,12382,487,292,3.8298213,8.29,85,0
21755,LOVE BUILDING BLOCK WORD,Home Decor,32325.158,5492,1485,661,5.964907,12.46,86,0
22727,ALARM CLOCK BAKELIKE RED ,Clocks,31993.09,8856,1144,473,3.7607832,7.46,87,0
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,Home Decor,31773.42,8598,883,426,3.8333044,4.15,88,0
22382,LUNCH BAG SPACEBOY DESIGN ,Bags,31485.95,19679,1919,790,1.6465055,4.13,89,0
22630,DOLLY GIRL LUNCH BOX,Home Decor,31443.49,17623,998,423,1.9439676,4.13,90,0
85152,HAND OVER THE CHOCOLATE   SIGN ,Signs,31138.049,16404,1300,486,2.081521,5.0,91,0
22385,JUMBO BAG SPACEBOY DESIGN,Bags,30096.57,16545,971,412,1.979,4.13,92,0
48184,DOORMAT ENGLISH ROSE ,Home Decor,29992.459,4652,755,374,7.495169,8.25,93,0
22622,BOX OF VINTAGE ALPHABET BLOCKS,Cards/Gift,29731.559,3119,511,346,10.389344,24.96,94,0
20712,JUMBO BAG WOODLAND ANIMALS,Bags,29504.5,15929,915,387,1.9853617,4.13,95,0
85014B,RED RETROSPOT UMBRELLA,Home Decor,29455.418,6055,794,437,5.967005,12.46,96,0
22865,HAND WARMER OWL DESIGN,Signs,29433.43,14623,1058,566,2.1021066,4.13,97,0
82483,WOOD 2 DRAWER CABINET WHITE FINISH,Home Decor,29150.02,4998,1053,361,6.170932,14.13,98,0
20679,EDWARDIAN PARASOL RED,Home Decor,29140.67,6134,622,271,5.8123555,12.46,99,0
15036,ASSORTED COLOURS SILK FAN,Home Decor,28829.32,41078,634,303,0.76580346,0.83,100,0
47590B,PINK HAPPY BIRTHDAY BUNTING,Kitchen,28793.95,5691,810,428,5.412819,5.45,101,0
22379,RECYCLING BAG RETROSPOT ,Bags,28377.08,14507,1013,423,2.0935876,4.13,102,0
22659,LUNCH BOX I LOVE LONDON,Home Decor,28121.77,16047,764,294,1.9254078,4.13,103,0
22752,SET 7 BABUSHKA NESTING BOXES,Kitchen,28023.09,3579,577,323,8.39267,16.63,104,0
22492,MINI PAINT SET VINTAGE ,Cards/Gift,27835.09,44809,635,363,0.6515692,1.63,105,0
22666,RECIPE BOX PANTRY YELLOW DESIGN,Signs,27804.371,9807,1277,701,2.952433,5.79,106,0
22077,6 RIBBONS RUSTIC CHARM,Cards/Gift,27457.34,16284,1361,685,1.716096,3.29,107,0
48188,DOORMAT WELCOME PUPPIES,Home Decor,27143.95,4777,597,309,7.5180955,15.79,108,0
22467,GUMBALL COAT RACK,Home Decor,27051.53,11852,928,398,2.4976978,4.96,109,0
21977,PACK OF 60 PINK PAISLEY CAKE CASES,Kitchen,26733.451,55270,1578,767,0.54488766,1.25,110,0
23245,SET OF 3 REGENCY CAKE TINS,Kitchen,26625.68,5856,718,472,4.9328337,10.79,111,0
20750,RED RETROSPOT MINI CASES,Home Decor,26581.78,3694,867,471,7.774709,7.95,112,0
72741,GRAND CHOCOLATECANDLE,Lighting,26508.951,19727,823,510,1.422503,1.45,113,0
23199,JUMBO BAG APPLES,Bags,26451.26,13887,718,344,2.0620522,4.13,114,0
84991,60 TEATIME FAIRY CAKE CASES,Kitchen,26121.57,53495,1765,822,0.5433936,1.25,115,0
22726,ALARM CLOCK BAKELIKE GREEN,Clocks,25900.21,6980,1041,404,3.7794254,7.46,116,0
21217,RED SPOTTY ROUND CAKE TINS,Kitchen,25879.648,2727,768,423,9.854403,9.95,117,0
22866,HAND WARMER SCOTTY DOG DESIGN,Signs,25251.36,12554,939,530,2.0902836,2.1,118,0
71459,HANGING JAM JAR T-LIGHT HOLDER,Lighting,25106.762,32244,884,445,0.8320111,1.66,119,0
22867,HAND WARMER BIRD DESIGN,Signs,25071.129,12458,907,521,2.0989504,4.13,120,0
82600,NO SINGING METAL SIGN,Signs,25034.34,12609,1005,385,2.0703387,2.41,121,0
22624,IVORY KITCHEN SCALES,Kitchen,24946.68,3014,1065,579,8.528038,16.63,122,0
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,Signs,24905.87,109169,920,482,0.2621322,0.63,123,0
22697,GREEN REGENCY TEACUP AND SAUCER,Kitchen,24664.09,8919,946,480,2.927707,5.79,124,0
22149,FELTCRAFT 6 FLOWER FRIENDS,Home Decor,24656.19,12373,1189,684,2.093668,4.13,125,0
23355,HOT WATER BOTTLE KEEP CALM,Home Decor,24426.3,5338,719,474,4.867162,4.95,126,0
47566B,TEA TIME PARTY BUNTING,Kitchen,24414.3,5646,655,350,4.7252226,4.95,127,0
23201,JUMBO BAG ALPHABET,Bags,24175.0,12540,752,396,2.0583572,4.13,128,0
20972,PINK CREAM FELT CRAFT TRINKET BOX ,Home Decor,24108.77,20301,1224,568,1.2565105,2.46,129,0
22507,MEMO BOARD RETROSPOT  DESIGN,Signs,23985.32,5436,737,445,4.9227443,10.79,130,0
20971,PINK BLUE FELT CRAFT TRINKET BOX,Home Decor,23975.69,20859,1003,490,1.2536114,2.46,131,0
47590A,BLUE HAPPY BIRTHDAY BUNTING,Kitchen,23905.67,4757,633,355,5.4308863,10.79,132,0
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,Lighting,23848.11,39643,1100,524,0.6431052,1.24,133,0
37503,TEA TIME CAKE STAND IN GIFT BOX,Kitchen,23827.799,2388,465,256,10.61934,10.75,134,0
84836,ZINC METAL HEART DECORATION,Signs,23815.18,19715,1244,662,1.2495823,2.46,135,0
22158,3 HEARTS HANGING DECORATION RUSTIC,Signs,23768.81,8439,646,374,2.9530509,5.79,136,0
22551,PLASTERS IN TIN SPACEBOY,Kitchen,23736.15,14951,1156,616,1.6504878,3.29,137,0
48111,DOORMAT 3 SMILEY CATS,Home Decor,23729.14,4106,572,244,7.324203,8.25,138,0
21527,RED RETROSPOT TRADITIONAL TEAPOT ,Kitchen,23685.54,3310,729,352,7.8417377,7.95,139,0
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,Kitchen,23534.52,12622,408,325,2.0117798,2.55,140,0
22961,JAM MAKING SET PRINTED,Home Decor,23416.451,16617,903,558,1.4691693,3.29,141,0
82583,HOT BATHS METAL SIGN,Signs,23390.22,11978,820,323,2.0754554,2.4,142,0
21930,JUMBO STORAGE BAG SKULLS,Bags,23232.89,12544,997,386,1.9753122,2.08,143,0
22084,PAPER CHAIN KIT EMPIRE,Stationery,23182.701,8482,704,464,2.9070442,2.95,144,0
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,Stationery,23091.0,30214,1671,798,0.8374857,0.85,145,0
23173,REGENCY TEAPOT ROSES ,Kitchen,23073.32,2666,354,248,9.705873,19.96,146,0
48173C,DOORMAT BLACK FLOCK ,Home Decor,22735.64,4059,460,224,7.4287553,8.25,147,0
21481,FAWN BLUE HOT WATER BOTTLE,Home Decor,22658.201,7832,834,439,3.113077,5.79,148,0
84978,HANGING HEART JAR T-LIGHT HOLDER,Lighting,22321.059,19216,1087,525,1.2279983,2.46,149,0
22835,HOT WATER BOTTLE I AM SO POORLY,Home Decor,22266.63,4827,815,451,4.764954,9.13,150,0
21231,SWEETHEART CERAMIC TRINKET BOX,Kitchen,22152.0,18775,1171,500,1.2470096,2.46,151,0
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,Kitchen,22133.83,4663,385,275,4.8881745,5.17,152,0
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,Home Decor,22057.21,6073,758,386,3.8107185,7.46,153,0
22113,GREY HEART HOT WATER BOTTLE,Home Decor,22032.62,5909,913,488,3.8633199,7.46,154,0
84406B,CREAM CUPID HEARTS COAT HANGER,Kitchen,21989.9,6934,724,318,3.365164,4.15,155,0
22728,ALARM CLOCK BAKELIKE PINK,Clocks,21917.48,5979,772,357,3.7765398,7.46,156,0
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,Christmas,21914.02,3055,544,269,8.376995,8.5,157,0
22632,HAND WARMER RED RETROSPOT,Home Decor,21869.22,11025,721,438,2.0808094,2.1,158,0
20749,ASSORTED COLOUR MINI CASES,Home Decor,21830.84,3060,726,426,7.78591,16.63,159,0
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,Christmas,21514.48,8858,599,444,2.728848,5.79,160,0
22087,PAPER BUNTING WHITE LACE,Kitchen,21495.65,7806,663,314,2.8932858,2.95,161,0
85014A,BLACK/BLUE POLKADOT UMBRELLA,Home Decor,21412.69,4606,640,361,5.9601507,12.46,162,0
22556,PLASTERS IN TIN CIRCUS PARADE ,Kitchen,21288.41,13317,1100,591,1.6515068,3.29,163,0
21955,DOORMAT UNION JACK GUNS AND ROSES,Home Decor,21288.2,3744,576,279,7.2934775,8.25,164,0
22607,WOODEN ROUNDERS GARDEN SET ,Home Decor,21177.27,2427,643,419,9.103147,16.63,165,0
22969,HOMEMADE JAM SCENTED CANDLES,Lighting,21020.8,14588,577,472,1.4489887,3.29,166,0
22605,WOODEN CROQUET GARDEN SET,Home Decor,21003.31,1724,548,377,13.368718,24.96,167,0
23202,JUMBO BAG VINTAGE LEAF,Bags,20963.93,10716,772,377,2.0784016,4.13,168,0
21314,SMALL GLASS HEART TRINKET POT,Kitchen,20903.86,10603,711,369,2.0860791,4.13,169,0
22554,PLASTERS IN TIN WOODLAND ANIMALS,Kitchen,20879.23,13071,1097,587,1.6483533,3.29,170,0
22585,PACK OF 6 BIRDY GIFT TAGS,Cards/Gift,20854.879,17551,950,612,1.2481827,2.46,171,0
22698,PINK REGENCY TEACUP AND SAUCER,Kitchen,20828.69,7591,755,402,2.9247522,5.79,172,0
23209,LUNCH BAG VINTAGE DOILY ,Bags,20817.56,13004,1006,469,1.6463848,4.13,173,0
21210,SET OF 72 RETROSPOT PAPER  DOILIES,Stationery,20761.271,14858,931,508,1.4501576,2.92,174,0
20724,RED RETROSPOT CHARLOTTE BAG,Bags,20658.75,25999,1495,524,0.8447526,1.63,175,0
22722,SET OF 6 SPICE TINS PANTRY DESIGN,Kitchen,20553.701,5378,654,394,3.9175558,4.25,176,0
20711,JUMBO BAG TOYS ,Bags,20532.63,11469,671,326,1.9528635,2.08,177,0
37449,CERAMIC CAKE STAND + HANGING CAKES,Kitchen,20531.28,2311,410,205,9.591153,9.95,178,0
21936,RED RETROSPOT PICNIC BAG,Bags,20496.41,7403,783,396,2.9362345,5.79,179,0
21790,VINTAGE SNAP CARDS,Cards/Gift,20458.791,25765,1480,793,0.84738266,1.63,180,0
22617,BAKING SET SPACEBOY DESIGN,Kitchen,20335.11,4303,883,600,4.980209,10.79,181,0
22941,CHRISTMAS LIGHTS 10 REINDEER,Christmas,20279.4,2568,406,315,8.44611,8.5,182,0
22294,HEART FILIGREE DOVE  SMALL,Home Decor,20234.1,16698,707,414,1.2458161,1.25,183,0
21791,VINTAGE HEADS AND TAILS CARD GAME ,Cards/Gift,20204.53,17143,1050,641,1.2546432,2.46,184,0
84970S,HANGING HEART ZINC T-LIGHT HOLDER,Lighting,20113.021,25767,1141,616,0.84818107,2.08,185,0
22625,RED KITCHEN SCALES,Kitchen,19926.53,2455,781,440,8.440712,16.63,186,0
22570,FELTCRAFT CUSHION RABBIT,Home Decor,19892.66,5585,677,351,3.7327724,7.46,187,0
22568,FELTCRAFT CUSHION OWL,Home Decor,19848.46,5511,771,389,3.757983,7.46,188,0
22569,FELTCRAFT CUSHION BUTTERFLY,Home Decor,19586.68,5554,679,360,3.7305062,7.46,189,0
22273,FELTCRAFT DOLL MOLLY,Home Decor,19480.43,7253,701,423,2.9472187,5.79,190,0
85150,LADIES & GENTLEMEN METAL SIGN,Signs,19220.28,8224,889,369,2.5228696,2.55,191,0
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,Home Decor,19130.9,5172,544,278,3.8769841,8.29,192,0
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,Christmas,19091.7,2586,432,309,7.7578597,7.95,193,0
22413,METAL SIGN TAKE IT OR LEAVE IT ,Signs,19045.92,6876,766,446,2.942585,5.79,194,0
22558,CLOTHES PEGS RETROSPOT PACK 24 ,Home Decor,19029.01,13869,1017,541,1.4590038,3.29,195,0
22501,PICNIC BASKET WICKER LARGE,Home Decor,18943.5,2070,497,346,9.800433,9.95,196,0
48129,DOORMAT TOPIARY,Home Decor,18905.13,3089,488,251,7.509561,15.79,197,0
48116,DOORMAT MULTICOLOUR STRIPE,Home Decor,18859.15,3316,385,186,7.3127503,15.79,198,0
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,Kitchen,18828.98,17266,281,197,1.2356538,1.25,199,0
22633,HAND WARMER UNION JACK,Home Decor,18807.959,9340,790,473,2.0831783,2.1,200,0
21622,VINTAGE UNION JACK CUSHION COVER,Cards/Gift,18723.17,3563,550,329,4.9497204,6.89,201,0
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,Home Decor,18695.988,7909,951,396,2.542824,4.96,202,0
22555,PLASTERS IN TIN STRONGMAN,Kitchen,18597.29,11625,867,521,1.6476343,3.29,203,0
21121,SET/10 RED POLKADOT PARTY CANDLES,Lighting,18546.93,15465,788,466,1.2460754,1.25,204,0
21213,PACK OF 72 SKULL CAKE CASES,Kitchen,18517.13,38927,1156,528,0.5394234,0.55,205,0
84949,SILVER HANGING T-LIGHT HOLDER,Lighting,18517.05,11965,612,330,1.6332817,1.65,206,0
21908,CHOCOLATE THIS WAY METAL SIGN,Signs,18394.64,9570,801,382,2.1071258,4.13,207,0
22499,WOODEN UNION JACK BUNTING,Kitchen,18322.68,3177,632,452,5.9414616,12.46,208,0
21479,WHITE SKULL HOT WATER BOTTLE ,Home Decor,18319.2,4930,738,410,3.8665943,4.25,209,0
23206,LUNCH BAG APPLE DESIGN,Bags,18278.25,11565,866,401,1.6415085,1.65,210,0
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,Signs,18185.06,1727,383,249,12.12408,24.96,211,0
22561,WOODEN SCHOOL COLOURING SET,Home Decor,18082.32,11292,838,556,1.649452,3.29,212,0
21174,POTTERING IN THE SHED METAL SIGN,Signs,17977.82,9338,855,402,1.9908588,2.4,213,0
22456,NATURAL SLATE CHALKBOARD LARGE ,Home Decor,17795.56,4048,595,385,4.88157,4.95,214,0
22147,FELTCRAFT BUTTERFLY HEARTS,Home Decor,17689.3,12930,1026,582,1.4480213,3.29,215,0
23344,JUMBO BAG 50'S CHRISTMAS ,Christmas,17679.719,8954,586,391,2.070299,4.13,216,0
22427,ENAMEL FLOWER JUG CREAM,Home Decor,17667.578,3072,702,460,5.913058,11.63,217,0
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,Lighting,17616.121,22134,585,344,0.84687304,1.8,218,0
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,Kitchen,17543.0,15343,559,312,1.2383251,2.46,219,0
22061,LARGE CAKE STAND  HANGING STRAWBERY,Kitchen,17533.95,2104,443,219,9.556799,9.95,220,0
22847,BREAD BIN DINER STYLE IVORY,Home Decor,17521.89,1127,445,264,16.471056,33.29,221,0
79323W, WHITE CHERRY LIGHTS,Lighting,17384.799,2948,313,174,6.3980894,6.75,222,0
22381,TOY TIDY PINK RETROSPOT  ,Home Decor,17323.18,8838,791,349,2.096135,4.13,223,0
22560,TRADITIONAL MODELLING CLAY,Home Decor,17279.139,14773,655,420,1.2512174,2.46,224,0
21136,PAINTED METAL PEARS ASSORTED,Signs,17169.46,10410,714,449,1.6880486,3.12,225,0
22169,FAMILY ALBUM WHITE PICTURE FRAME,Frames,17040.74,2140,570,276,8.372062,16.63,226,0
47591D,PINK FAIRY CAKE CHILDRENS APRON,Kitchen,16957.47,9285,1034,526,1.9449999,4.13,227,0
22505,MEMO BOARD COTTAGE DESIGN,Cards/Gift,16812.74,3648,655,397,4.919487,10.79,228,0
21218,RED SPOTTY BISCUIT TIN,Kitchen,16513.95,4737,588,313,3.71461,8.29,229,0
21156,RETROSPOT CHILDRENS APRON,Home Decor,16490.92,9120,797,472,1.9493365,4.13,230,0
84992,72 SWEETHEART FAIRY CAKE CASES,Kitchen,16475.22,34541,1176,614,0.54681104,1.25,231,0
23240,SET OF 4 KNICK KNACK TINS DOILY ,Kitchen,16432.25,4103,485,323,4.1331325,4.15,232,0
22837,HOT WATER BOTTLE BABUSHKA ,Home Decor,16376.9,3658,368,221,4.619655,4.65,233,0
71053,WHITE METAL LANTERN,Lighting,16261.36,4570,595,293,3.703794,8.29,234,0
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",Kitchen,16242.17,3543,522,269,4.8957505,10.79,235,0
22297,HEART IVORY TRELLIS SMALL,Home Decor,16140.34,13182,646,391,1.2510202,2.46,236,0
22900, SET 2 TEA TOWELS I LOVE LONDON ,Home Decor,16138.05,5651,507,252,3.0635457,3.25,237,0
21035,SET/2 RED SPOTTY TEA TOWELS ,Home Decor,16127.16,5612,619,327,3.0639722,6.63,238,0
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,Home Decor,16112.89,6780,836,366,2.5274596,4.96,239,0
21164,HOME SWEET HOME METAL SIGN ,Signs,16103.84,5912,630,356,2.9311745,3.21,240,0
22191,IVORY DINER WALL CLOCK,Clocks,16070.1,1969,592,335,8.464065,8.5,241,0
22557,PLASTERS IN TIN VINTAGE PAISLEY ,Kitchen,16010.59,10067,991,580,1.6606542,3.29,242,0
21258,VICTORIAN SEWING BOX LARGE,Home Decor,15975.63,1369,344,186,12.56812,24.96,243,0
21535,RED RETROSPOT SMALL MILK JUG,Home Decor,15966.449,6615,956,461,2.5356574,2.55,244,0
22424,ENAMEL BREAD BIN CREAM,Home Decor,15964.25,1328,559,310,12.653805,24.96,245,0
22041,"RECORD FRAME 7"" SINGLE SIZE ",Frames,15789.119,7162,319,101,2.4546132,4.96,246,0
22355,CHARLOTTE BAG SUKI DESIGN,Bags,15768.15,19811,1191,393,0.8445966,1.63,247,0
22296,HEART IVORY TRELLIS LARGE,Home Decor,15630.58,9666,739,428,1.6508585,3.29,248,0
21877,HOME SWEET HOME MUG,Kitchen,15564.109,13987,650,323,1.3135059,3.29,249,0
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,Kitchen,15537.29,1671,444,301,9.842321,9.95,250,0
21533,RETRO SPOT LARGE MILK JUG,Home Decor,15532.149,3273,845,425,4.8908887,4.95,251,0
